imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.0794702424192485, -0.0062929580387460025, -0.07948138844434707, -1.5821924022779422e-12, 1.5850601089974214e-05, -9.981907899244949e-08, -1.9771321712927246, -0.500001033948115, 4524000000, 
-0.034182364578775444, 0.000777042728628866, -0.034227573071846984, 4.964680302538196e-12, -2.0024847013938585e-05, -2.4792600408295045e-07, -1.9771312988569905, -0.5000010339472563, 4569000000, 
-0.05980990920739042, 0.008701692925553109, -0.059784377839685834, 1.6165348176205055e-11, -2.893180428091796e-05, -5.587397183820626e-07, -1.9771321310823655, -0.5000010339480717, 4614000000, 
-0.06925941442021366, 0.01680365882414645, -0.06924995816106758, 4.223060858172318e-11, -4.2539742759357783e-05, -9.927330501412917e-07, -1.9771333361762358, -0.5000010339492391, 4660000000, 
-0.05363355828858834, -0.0055376051447471345, -0.053649143309314945, 9.283227143152049e-12, -3.9636977974053314e-05, -2.3420622907298646e-07, -1.9771355361022822, -0.5000010339513135, 4717000000, 
-0.07469089309363833, 0.020627128016603432, -0.07466989317120057, 2.031738056326484e-11, -1.9182313470334292e-05, -1.059172585970193e-06, -1.977137485159211, -0.5000010339530411, 4770000000, 
-0.04750282648833788, -0.0013770541567495603, -0.04752993926424205, 1.0110026688742766e-12, 1.0320030283621391e-05, 9.796508741634299e-08, -1.9771380641151615, -0.500001033953547, 4805000000, 
-0.05725444642271764, 0.01502327993119617, -0.0572447411874534, 7.870130045946337e-12, 2.188071308435388e-05, 3.5968343516071176e-07, -1.977137398496554, -0.50000103395299, 4857000000, 
-0.058919469102625355, 0.029446127268517353, -0.05891779767699183, 2.843708027332396e-11, 3.267561195607915e-05, 8.702845508003828e-07, -1.9771367906188608, -0.5000010339524781, 4883000000, 
-0.038985833266931294, -0.02993461418046322, -0.03900572533172483, -2.216744310001598e-11, 3.078551140102458e-05, -7.20060901742182e-07, -1.9771350867769266, -0.5000010339510276, 4931000000, 
-0.04000961235274192, -0.02767863333363978, -0.04000861037528284, -1.8748581144569294e-11, 2.924828840232172e-05, -6.410146428630346e-07, -1.977133484802605, -0.5000010339495969, 4980000000, 
-0.06228160818338225, 0.00043008445792841975, -0.06225937947771365, 1.4950413226119342e-12, 1.696453347645177e-05, 8.812746455345678e-08, -1.9771315867012085, -0.5000010339479688, 5040000000, 
-0.05787308858031429, -0.00863593653013505, -0.057877465989796734, -1.0072433241569072e-12, 5.985790763643386e-06, -1.682723910556182e-07, -1.9771306751975548, -0.500001033947222, 5086000000, 
-0.05636083812196461, 0.005386910793330519, -0.056362351574648153, 1.8910693388976185e-13, -2.7655013860772466e-06, -6.838070479436732e-08, -1.9771302199979932, -0.5000010339468471, 5137000000, 
-0.06071085928849449, 0.020007525362851296, -0.06070651938790228, 6.253183141359217e-12, -1.888757974108108e-05, -3.310738181958987e-07, -1.9771302483428472, -0.5000010339468702, 5172000000, 
-0.06662213904200041, 0.041361650433972844, -0.06661623504150511, 2.77611896063169e-11, -2.5050175981290723e-05, -1.1082233365167157e-06, -1.9771311040935278, -0.5000010339475655, 5227000000, 
-0.07191403723858197, 0.00365339663090405, -0.0719087499640422, 9.127313886360925e-12, -2.2660926263210097e-05, -4.027776173112162e-07, -1.9771316886415253, -0.5000010339480297, 5252000000, 
-0.052030091897023595, -0.010343566871960152, -0.05204993078805918, 1.9239017228134172e-12, -2.4617555135302525e-05, -7.815161628517967e-08, -1.977132463299125, -0.5000010339486236, 5291000000, 
