imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.042064150937651174, -0.007141398691900307, -0.042257971011639056, -0.005026199511940324, 0.09957384681391315, -0.05047710491022255, -1.778578797505898, -0.5015584426174103, 105460000000, 
-0.055281619548666755, 0.029321148887865592, -0.05526862182880408, -0.004316759217388385, 0.09793596587850331, -0.044077364006841355, -1.772609585000298, -0.5018094106059342, 105520000000, 
-0.036928956665322, -0.002640974226890423, -0.036947259429479004, -0.004962605887722326, 0.09971930087632028, -0.04976575090390315, -1.7666412403058407, -0.5020784500377583, 105581000000, 
-0.05938229295451892, 0.04525134972765371, -0.05935990266661442, -0.004231412865834527, 0.09743094306749002, -0.043429866658515705, -1.759967643708848, -0.5023972650175171, 105648000000, 
-0.04498765609039186, 0.02543600211081246, -0.04500199931066986, 0.01784657177138179, 0.09861537330247434, 0.18097149738147372, -1.7533505498289703, -0.5027354952024151, 105716000000, 
-0.0418643305490197, 0.039617311444639904, -0.041867461373133685, 0.010691106656481063, 0.104911621800202, 0.10190583724691289, -1.7470478048626752, -0.5030762272309738, 105780000000, 
-0.07037120471043568, 0.014178438687165321, -0.07034275792151543, 0.0037596830523554084, 0.10102983214440216, 0.037213592980949284, -1.7418069763882909, -0.503298735156882, 105830000000, 
-0.026929851599753033, 0.01538750101207762, -0.026973177833197068, 0.002556742083928574, 0.10039167913829697, 0.025467669291659847, -1.738273329611703, -0.5034307395403781, 105865000000, 
-0.044363907941713014, -0.004390901572719073, -0.044346551900536414, 0.0016464325650390275, 0.0998103894418761, 0.01649560305540954, -1.7353638543588497, -0.5035356336700363, 105894000000, 
-0.03840109830992337, -0.016933241841871925, -0.038407031824308366, 0.00395125058704645, 0.09955399632214083, 0.039689522600989666, -1.7308751093054517, -0.5036941462852035, 105939000000, 
-0.042667259071320573, 0.023759954135345943, -0.0426630067082292, 0.002396978709279426, 0.10076817596777049, 0.02378706060975115, -1.7195320899322841, -0.5040862643436821, 106053000000, 
-0.06543925534972184, 0.01395288250129366, -0.06541652446687152, -0.0009045205007942413, 0.10032452965398571, -0.009015945590912684, -1.7147980420321975, -0.5042284825779043, 106100000000, 
